Scope,Technology,Tool
Front End,`js` Library,[jQuery](http://jquery.com/)
Front End,Framework,[bootstrap](http://getbootstrap.com/css/)
Server Side,Templating Language,[jade](http://jade-lang.com/reference/)
Server Side,MVC Framework,[express.js](http://expressjs.com/api.html) 
Server Side,Language,[node.js](http://nodejs.org/api)    
Server Side,Object-Relational Mapping,[sequelize.js](https://github.com/sequelize/sequelize/wiki/API-Reference)
Server Side,Database,[postgres](http://www.postgresql.org/docs/)
Integration,Payments,[stripe](https://stripe.com/docs/api/node)
Integration,Email,[email.js](https://github.com/eleith/emailjs)
Integration,Deployment,[heroku](https://devcenter.heroku.com/categories/nodejs)
